# BEAST v1.8.3
# Generated Thu Mar 09 09:46:24 PST 2017 [seed=1489081582878]
# -beagle_scaling dynamic -threads 1 -beagle_SSE -beagle_instances 1 -beagle_GPU -beagle_cuda infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Calathea)	tmrca(Goeppertia)	tmrca(Straminea1e2)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
480000	-14878.49093248534	-481.90137311379203	-14396.589559371547	42.11802954427542	40.174758585442966	36.22090683370662	34.4333232312706	0.13165957741920215	4.254664360247433	0.17711955578777347	0.25288852680744445	0.22951462277858767	0.3404772946261951	0.9164437543588256	0.002651577369514852	0.5645935745178831	0.0029050160615164593	0.6122287740137485	0.04010938787445753	-12631.718826215687	-1764.8707331558608	-473.7985681670999
500000	-14871.729846323024	-490.35145429401956	-14381.378392029004	46.03470499651626	45.83797919387978	40.83297609562454	34.165413581956166	0.12371007170199666	3.845314478369587	0.18919909911869132	0.25490208668787806	0.22951462277858767	0.32638419141484365	0.8904946180432649	0.0025890314470991237	0.5510721772705034	0.002817261123922988	0.5878392770878291	0.07186423594617554	-12616.507658873144	-1764.8707331558608	-482.1486926177006
520000	-14881.78477678108	-494.9112689518929	-14386.873507829187	47.667098644842355	45.613342694711314	39.20701803016694	35.072613725088466	0.12812434589885555	4.0262900214124455	0.17919496158202589	0.2529831837842358	0.22453031146079694	0.343291543172942	0.854206129544499	0.002511078814524319	0.5936134492907346	0.002614902401551528	0.645386050240788	0.007976783003539864	-12622.002774673327	-1764.8707331558608	-486.80819213986916
540000	-14873.766540300205	-484.6575287361788	-14389.109011564025	42.25729949784947	42.04033821301529	37.19354031621896	35.49410159509879	0.1318876855879215	4.094335868911568	0.17844691262641207	0.24708221358093854	0.231179330619708	0.343291543172942	0.8855180499222769	0.002823579306591616	0.5939163567149941	0.00284492712520414	0.6380063460385094	0.029537073022570758	-12624.238278408164	-1764.8707331558608	-476.75852094840263
560000	-14920.14269730873	-501.6948310859834	-14418.447866222745	46.77245051845829	45.994811588952935	39.40300696244853	37.931375860725005	0.12590859668432586	3.6774417495322322	0.16688023291372203	0.24734349491506102	0.2347594805618928	0.35101679160932475	0.8595701804092103	0.002349713723154462	0.4363895163413421	0.002573409654389408	0.4657801274889486	0.11252001267547172	-12653.577133066885	-1764.8707331558608	-493.7268013579605
580000	-14881.531102971376	-502.30242676505225	-14379.228676206323	52.64390494263672	44.518172508237775	37.23219733435549	34.96508173842332	0.1054144500261004	4.144587631909535	0.1737078138192827	0.24734349491506102	0.24113703315609386	0.337811658109563	0.7594985987537208	0.0024975971170403876	0.5947071848461418	0.0025491468609172984	0.6575860314059636	-0.02908704731701392	-12614.357943050463	-1764.8707331558608	-493.7170884932608
600000	-14903.73425654205	-502.37231888884213	-14401.361937653208	41.262785203156966	39.44053060008545	34.86356617451048	32.308226856959884	0.1182209661727031	3.9610656491679395	0.17279505436235137	0.2612369872514092	0.22300308267466326	0.34296487571157674	0.8269874719501056	0.002409466974776556	0.5918454951600652	0.0025825973980996785	0.6545553660837731	0.0327963372958991	-12636.491204497346	-1764.8707331558608	-494.02495098266456
620000	-14878.70532028698	-494.7321814831261	-14383.973138803853	44.23918529478996	40.408235626033516	40.180567190990836	31.58532070744481	0.1104420137304366	4.329073995095407	0.1763322355559908	0.27789205201458556	0.22689624529435115	0.31887946713507304	0.7761469480204534	0.002684099518888484	0.6387655412629879	0.0027376896443424676	0.7493158214451995	0.06942954279011268	-12619.102405647991	-1764.8707331558608	-486.6700048255282
640000	-14917.220654336383	-528.4486146178926	-14388.77203971849	45.883172697748144	45.845435201921035	38.81704300494829	34.378732133372374	0.0857492917587429	3.7985395854957322	0.16132299414851312	0.25102475412325254	0.24081266757380437	0.34683958415443056	0.8872671751629371	0.002177673728851409	0.6736490627132594	0.002130255966723605	0.7582068493480822	0.005549917875132744	-12623.90130656263	-1764.8707331558608	-520.696782513849
660000	-14863.987807782041	-480.65536257407945	-14383.332445207961	40.470746223467394	39.46638534384149	31.906253284178554	30.706050106072933	0.11907634720481013	4.098324382567042	0.17026188192453923	0.24384093981734226	0.23905759410368854	0.34683958415443056	0.8970861630057994	0.0029315095145187567	0.6401362824511679	0.003018227460993602	0.7259144628045457	-0.010898467990399495	-12618.4617120521	-1764.8707331558608	-470.5353405955526
680000	-14884.043553504604	-506.9705373752456	-14377.073016129358	45.99688728545873	44.40845040380973	35.94662304674692	34.561183826513954	0.10877144438614852	4.126964864414682	0.17759660950117914	0.2584411632725666	0.23275456484065443	0.3312076623856005	0.7521248241549303	0.002401822370327929	0.5440402343385525	0.002602401230735547	0.6018643760062232	0.07057992748117153	-12612.202282973498	-1764.8707331558608	-499.5456265072204
700000	-14887.723128359645	-489.6174629130393	-14398.105665446605	41.28923954652685	40.937782467434715	38.417586207710066	33.43637459875392	0.13777723367184125	4.518133547479178	0.16987130484571566	0.24804040287042262	0.252109167646506	0.3299791246373564	0.7511389336828694	0.0025752266647463056	0.560572762062124	0.0026533785871039758	0.5975111570901525	0.021626611721689608	-12633.234932290745	-1764.8707331558608	-481.7448326214608
720000	-14897.95526083117	-483.82562236097647	-14414.129638470193	41.448395745061454	40.16836577760782	38.12079688648524	29.752067972584513	0.13194644136355438	4.11718346326953	0.17041151954780648	0.27045416292868923	0.226603571960453	0.332530745563052	0.9416677452222582	0.003030358294657806	0.597750538027401	0.0031588532132207085	0.6175979415300834	0.009941287035349262	-12649.258905314331	-1764.8707331558608	-474.69180220576783
740000	-14877.733433662701	-486.9464615083177	-14390.786972154383	45.22210622609574	43.61698762142441	38.39880897851168	37.40663293027293	0.12266197805527974	4.282511811736038	0.15898123781194015	0.2596923981378696	0.23135213980348884	0.3499742242467021	0.9085297910241814	0.0024818208281836298	0.6069632416130831	0.0028081838370060805	0.6620396209647815	-0.021121884692479612	-12625.916238998523	-1764.8707331558608	-479.00754023273964
760000	-14869.34998458329	-472.1618656085135	-14397.188118974776	42.75139077330739	41.97036931201148	33.508535984873895	31.102073253406694	0.1295994954473894	4.034862851320594	0.18375874418176738	0.2550188573413623	0.242688009803211	0.31853438867366	0.7395426855499134	0.0030465767890347512	0.426581524868193	0.0031857074344678743	0.47921620032762685	0.11735759145287178	-12632.317385818915	-1764.8707331558608	-463.76510043516527
780000	-14851.239889515095	-469.8234538442891	-14381.416435670806	42.37125186845625	42.03458475139521	37.76299716952443	37.617592206462916	0.1321283911847823	4.0980578380695905	0.174501669246583	0.2671070269307422	0.2243689771830775	0.3340223266395981	0.7813905564724148	0.0033037605567223147	0.47143057875205313	0.00335992639351873	0.5259376818938954	-3.9124402398418927E-4	-12616.545702514946	-1764.8707331558608	-461.9983668633214
800000	-14846.632827475101	-458.49927425654323	-14388.133553218559	38.49736599889334	37.60055477933378	34.58062104528772	33.64455395504092	0.14734986720932644	4.215953329555522	0.174501669246583	0.2671070269307422	0.22266917569414046	0.33572212812853514	0.7419725369742572	0.0034059115216837203	0.4722697917413421	0.00340191476142105	0.5250597305471059	0.07054783732462873	-12623.262820062699	-1764.8707331558608	-449.06081783636074
820000	-14871.22785457271	-470.27975107835687	-14400.948103494353	48.271230432199964	48.037686745436794	39.29617947711158	37.0441166290808	0.13867173157307403	4.233413237103205	0.18156728182711224	0.2483296039475237	0.23738561504638625	0.3327174991789786	0.9175366592512406	0.003203897522043154	0.5304240297012586	0.003273504152992408	0.5601024746174511	0.08089622119457271	-12636.077370338493	-1764.8707331558608	-460.85018771068405
840000	-14829.709413930725	-448.4731763381615	-14381.236237592562	38.49392682551475	36.61047491513121	32.16588522625983	31.999215431331663	0.15211057043900297	4.281671182408474	0.18282566390025212	0.2629555522131047	0.2213047677360374	0.33291401615060656	0.8438289715230456	0.0036966562229883196	0.6026863789232125	0.0037470389377229616	0.6486406337314173	-0.08038186629842067	-12616.365504436702	-1764.8707331558608	-437.23908211241644
860000	-14886.182784169108	-491.56322655552526	-14394.619557613583	47.22007414782918	46.33035709065887	35.16105473248134	33.979422971563444	0.11341571238569503	4.3680147929393005	0.17234578368845155	0.26406353443117836	0.2368621927461493	0.32672848913422153	0.7446609618110511	0.002761342744449629	0.5029739775166043	0.002782291455064905	0.535945429778918	0.1573668295214103	-12629.748824457723	-1764.8707331558608	-483.3678558381618
880000	-14914.434356556607	-514.5188082801268	-14399.91554827648	48.30520198167152	48.25570057218514	35.920072276445886	34.56966113972013	0.10062680237659688	4.088015109586269	0.17234578368845155	0.2426862713764295	0.2368621927461493	0.3481057521889704	0.8303869465915314	0.002254393718169192	0.6048330688059308	0.002391363771560729	0.6706456970563116	0.02453762854415034	-12635.04481512062	-1764.8707331558608	-505.7080083682175
900000	-14877.042773853544	-500.9806779247927	-14376.062095928752	48.359994349393574	45.42687117336371	35.77646140321033	33.31972657887324	0.11630600275323294	4.232304154457	0.1645535292910437	0.26530351868394214	0.23151038062844922	0.33863257139656566	0.8530979134083676	0.0027196470493933847	0.6802653758856901	0.0026771283656760883	0.7658628805827667	-0.08192611189172497	-12611.19136277289	-1764.8707331558608	-492.44188174934266
920000	-14906.231630728971	-501.5635040908651	-14404.668126638106	46.93232105037589	46.44951826714972	40.73818450675379	33.806688060901465	0.10892837092159105	4.179793032354616	0.17191385900783782	0.26530351868394214	0.23428307406699667	0.3284995482412241	0.915060761174676	0.002624423964526698	0.5591811728420364	0.0026331909481085228	0.5930232781942566	-0.037522256949065684	-12639.797393482244	-1764.8707331558608	-493.062820667729
940000	-14882.88277510485	-489.3126059702396	-14393.570169134611	45.564454119263154	42.58738105411536	30.91873045744792	30.09497536657538	0.11084740988783284	4.417054537780146	0.1779634883518275	0.272853081541797	0.23367351179521825	0.315509918311158	0.9623088312936983	0.002960211531554353	0.6185772764015699	0.0029729128866909232	0.6602121087031109	0.04948219267673156	-12628.699435978751	-1764.8707331558608	-479.0584750009106
960000	-14896.245814612439	-487.8365804446094	-14408.40923416783	42.88590270129447	42.10971413985333	37.0954408921617	36.12421086453151	0.10858663216502948	4.1408491748022245	0.16805003879594033	0.25608154103769315	0.23367351179521825	0.34219490837114896	0.8760540826146109	0.00267025909421367	0.5438406593160418	0.0027666137044468227	0.5714021261224589	0.08044403369625631	-12643.538501011968	-1764.8707331558608	-480.2557319789158
980000	-14876.062934490348	-486.25131971184413	-14389.811614778504	44.57739074811078	43.47359796071756	37.05859389818806	35.42477068904069	0.1159721562848413	4.1062904187154405	0.16965576451836645	0.2357255482383716	0.24681134474613498	0.3478073424971277	0.9333893571272815	0.0027658172879628873	0.5259814011340344	0.00287349104778751	0.6020831713233135	0.032762638156819145	-12624.940881622644	-1764.8707331558608	-478.56515707620446
1000000	-14844.690140940129	-462.90906034127397	-14381.781080598856	37.75338937050621	36.723727830816244	34.6923381174125	30.681276770556504	0.12612656997771518	3.9983991834392834	0.1691088702041267	0.2555943891090908	0.232204680356869	0.3430920603299142	0.828702648766744	0.003236757141693022	0.5462585742239292	0.0033141230105976304	0.5769719623966881	0.011011071998534237	-12616.910347442996	-1764.8707331558608	-452.46700568969175
1020000	-14894.157891631357	-491.5660716926515	-14402.591819938705	41.788742652186194	41.11805056055352	32.66418023811255	27.139950397265736	0.13323612792831818	3.8845033057702154	0.17933496490125592	0.2516546769238039	0.22861048702652517	0.34039987114841574	0.8349863649135557	0.0028763746643933764	0.4678129801363823	0.00286288341542006	0.4954663573151903	0.16297999631793147	-12637.721086782845	-1764.8707331558608	-481.14477355639
1040000	-14887.060104549502	-495.34622703793195	-14391.71387751157	47.77639003305763	47.26410910278774	35.88585523700696	32.172961439393426	0.11708047714839742	4.0307048145676685	0.17413645053644256	0.24068339430088861	0.24345942304351886	0.3417207321191507	0.757477029359775	0.0025505020688175424	0.5495820957607903	0.0027595755981537112	0.6187732409799961	-0.036648560784928466	-12626.843144355711	-1764.8707331558608	-486.7555149809852
1060000	-14913.482437025714	-492.70354402912056	-14420.778892996594	47.49904813339693	44.092278334428585	35.79911007964004	28.93568756145817	0.11810626317268387	3.9208785723604174	0.18796293934629227	0.25275894577830266	0.21753439174951897	0.34174372312588686	0.8698342945127759	0.00228560769790762	0.5552206203169124	0.002524219741393724	0.6147320632316561	0.03448687095709596	-12655.908159840732	-1764.8707331558608	-483.84176178486155
1080000	-14894.49537886067	-489.14384292355584	-14405.351535937116	44.82314093363884	41.48869516465687	33.39218893032181	30.199247148488382	0.11597205127834144	3.7462306623804524	0.18796293934629227	0.24705160262717502	0.21944449723704187	0.3455409607894916	0.7731254665932319	0.0024584370882724553	0.49473256737729165	0.0027995988297268345	0.5159590613957916	0.04800770247465722	-12640.480802781254	-1764.8707331558608	-480.75829943081857
1100000	-14877.143951148064	-488.5328948874878	-14388.611056260575	46.48675732791499	41.01259915480598	35.168705403547655	35.08512454910667	0.10748894847583658	4.302918370825667	0.17010321069265205	0.25637056974264444	0.2382687369622944	0.3352574826024099	0.806986233825286	0.0028890988087477308	0.5884992053902461	0.0028920641856699614	0.6562198665168614	-0.060192225309841356	-12623.740323104716	-1764.8707331558608	-480.73033534356125
1120000	-14927.346266345574	-492.41008236720353	-14434.93618397837	46.082211086363664	44.7382743115576	37.623088306951594	36.171740206288156	0.12214084378015114	4.412560808732423	0.18054197291977256	0.24816003204320264	0.23988448536552368	0.3314135096715019	0.7719162789891983	0.0025362723462034747	0.5105345459572986	0.002584576230528317	0.556289820912343	-0.009551220989148049	-12670.06545082251	-1764.8707331558608	-484.8150972565907
1140000	-14879.036836146684	-480.5062699740389	-14398.530566172645	45.907993848836995	44.92262961276408	38.47624737283777	36.21821112104296	0.1375292925179404	3.878198147943226	0.18054197291977256	0.24816003204320264	0.2247426596601007	0.3465553353769249	0.7318654973952438	0.002887361051054705	0.6157925303995095	0.0028681176055553284	0.6916407219022351	0.01977440815833411	-12633.659833016785	-1764.8707331558608	-472.72831488483365
1160000	-14868.749664430841	-470.724714778367	-14398.024949652474	42.17164737829269	41.33004509761063	38.44786941630474	37.6656571448843	0.1366932607824434	4.224615387120063	0.1716885338974048	0.2615370489133225	0.24146743521431474	0.3253069819749588	0.7891028945870896	0.0033059609343748927	0.5978826207283816	0.0030078905701361874	0.6145753880880284	0.03316832142488101	-12633.154216496612	-1764.8707331558608	-462.5553590977839
1180000	-14886.69119540677	-481.86528276761646	-14404.825912639153	44.81020314446651	44.44952652919118	36.954426233201346	35.172503240812695	0.11335085820622552	4.296634413633465	0.17705912489904324	0.2646235898443375	0.23618074035961018	0.3221365448970099	0.8998050982578873	0.0028142369210176228	0.5419439982317792	0.0028271369121031812	0.5618484792322817	-0.003178265708935909	-12639.955179483291	-1764.8707331558608	-474.0445332336089
1200000	-14891.45839705636	-489.92175733558804	-14401.536639720773	42.094226360383026	42.03425418663286	35.76832610384631	33.44606137018123	0.12128470754049199	3.9345450767410446	0.18002031740447488	0.23841196950198507	0.23618074035961018	0.34538697273393065	0.8262790593265399	0.002696163069663464	0.48700596694288495	0.002841763662645237	0.5284182611129348	0.02030352581211811	-12636.665906564911	-1764.8707331558608	-482.2607568811126
1220000	-14910.809840411388	-499.51494435982346	-14411.294896051564	44.64153940806699	42.72825451591086	37.0355442625331	35.58732604637193	0.10663133028352408	4.033866545267588	0.1747231392691844	0.2620944145555176	0.24041750901921113	0.32276493715608773	0.8028465381239227	0.002373958808992821	0.5738146385730346	0.0025440742098930794	0.6223304787364773	0.07255148104867407	-12646.424162895704	-1764.8707331558608	-492.2712018565411
1240000	-14898.295516628037	-500.0820848427289	-14398.213431785309	46.64438559703046	42.216781874291996	40.9525438984606	36.32420628364652	0.10475698574557889	4.089650820591564	0.1811431116832711	0.2560167926560936	0.24565902037551632	0.3171810752851198	0.7962040362958688	0.002383407614905213	0.6297635262850872	0.0026541383825760376	0.7373732559345786	0.09444935927576789	-12633.342698629447	-1764.8707331558608	-492.42668361654756
1260000	-14905.224845169656	-512.2989171397288	-14392.925928029927	45.62683749010384	44.32969361892558	41.17166334000481	34.23843428771976	0.09430367982089419	4.162963407500788	0.16694193086873232	0.2701749971430673	0.23258885938796542	0.3302942126002358	0.9228101037865726	0.002296426279351391	0.5502738481415982	0.0024680953149463754	0.6020550813842813	0.12610756585061658	-12628.055194874067	-1764.8707331558608	-504.47177511581964
1280000	-14874.142427345894	-487.85895198855053	-14386.283475357344	39.465742426122944	38.3762840952239	32.346199347591934	32.337298593123485	0.12927993095477447	4.070970715398909	0.17995669607263184	0.2547993844285104	0.2266628955288795	0.338581023969979	0.9120172528149887	0.002743013882149443	0.6088574576240516	0.0028979372593464676	0.6360853553681777	0.10151496253892148	-12621.412742201483	-1764.8707331558608	-477.8685531863299
1300000	-14883.645650610752	-509.22263554382334	-14374.423015066928	47.27369022836805	44.32927013419507	40.56223153080413	39.53351554467338	0.10451558523645896	3.7446666051618216	0.17995669607263184	0.2547993844285104	0.2251982336354958	0.3400456858633627	0.7875985202709666	0.0022932434148348183	0.6250771748735175	0.0024339519721744505	0.6678374903140962	0.05324611724003833	-12609.552281911067	-1764.8707331558608	-500.99499674933816
