# BEAST v1.8.3
# Generated Thu Mar 02 10:58:31 PST 2017 [seed=1488481111247]
# -beagle_scaling dynamic -threads 1 -beagle_SSE -beagle_instances 1 -beagle_GPU -beagle_cuda infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Calathea)	tmrca(Mara1)	tmrca(Thaumococus)	tmrca(Maranta)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	CP1+2.ac	CP1+2.ag	CP1+2.at	CP1+2.cg	CP1+2.gt	CP3.ac	CP3.ag	CP3.at	CP3.cg	CP3.gt	CP1+2.frequencies1	CP1+2.frequencies2	CP1+2.frequencies3	CP1+2.frequencies4	CP3.frequencies1	CP3.frequencies2	CP3.frequencies3	CP3.frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	branchRates	speciation
440000	-9996.641760108676	-555.9919565055062	-9440.64980360317	58.463986483122405	44.63029688609637	52.489543730620994	58.463986483122405	47.82857727456737	0.07549361699558871	0.16855341730267223	0.7947846578710993	1.4971576876499635	0.20739650979053273	0.06415555012597113	0.5063846208996581	0.36727748768932245	0.9164808445196029	0.1265774553035997	0.20707119104444738	0.22971207175407293	0.25423396700112205	0.18014507571581584	0.1536942156122404	0.41192674167082166	0.3431732547554736	0.11690105247356097	0.1294970658124893	0.4104286269584763	0.348025506286529	1.0496337840709966	0.9453370131257895	1.1093259737484213	3.17361804453706E-4	0.4650074061491997	3.3128494910138147E-4	0.5453878411983507	0.019170694129172612	-4979.370749240343	-2750.144311965967	-1711.1347423968602	-528.8167364031427
460000	-9974.449290567685	-548.6151932999384	-9425.834097267747	57.94310300674776	43.317733455190485	53.72872128145289	57.94310300674776	46.74311496565508	0.06461895226703139	0.36606612663486776	0.8390069149131784	1.4381162009356223	0.20651726580141946	0.18355008953708155	0.3931800042231188	0.3923020892717563	1.0332936914453459	0.12586438914958512	0.3082127586285787	0.34233862296675915	0.3042903013823154	0.1613497436798737	0.1515314741039578	0.38282848083385307	0.2981731744205025	0.12540911296917087	0.14309909453936442	0.43331861807096234	0.4166645202416683	0.9421017878021929	1.000847798467888	0.9983044030642242	3.145472974466867E-4	0.5893412300484658	3.571022404702812E-4	0.6447001385901663	0.040630301480103166	-4994.780321743616	-2719.9190331272707	-1711.1347423968602	-519.0593482169867
480000	-9940.560539473012	-531.0798085292453	-9409.480730943767	61.95543288789107	41.26413331240213	57.466471758777395	61.95543288789107	46.45415570562018	0.052566066330268446	0.5698918158873159	0.71346754822359	1.124612434227936	0.2674082356515972	0.08418436831293306	0.5491805768140492	0.3758166061809915	0.8724277357846657	0.12586438914958512	0.16778724554430882	0.301089883303828	0.28758551362087026	0.1759417831233702	0.14536201383005312	0.39111068942570637	0.31510338915571245	0.12152270239991834	0.13892590139347183	0.42444800705089747	0.4142260098958431	1.156445929307614	0.9336647982409239	1.1326704035181527	3.6663247329833703E-4	0.5421198993570101	3.698071307900022E-4	0.6658357440536841	-0.001055492382235351	-4973.918708095637	-2724.4272804512693	-1711.1347423968602	-501.8554865259511
500000	-9984.189151224626	-562.6687615865261	-9421.520389638099	56.20519243046279	51.39178877438192	55.473723285730806	56.20519243046279	49.33467394898224	0.06851454596388525	0.1254628699969092	0.8689919644177014	1.3937336420757858	0.29289252193594606	0.13264972525988047	0.4512510597216039	0.4363997776407432	0.9495489542937486	0.18946629688719616	0.2037965593962324	0.33797852794397554	0.2732971232267961	0.16494531812366728	0.15722493184434677	0.4045326268051898	0.30880197835731704	0.12693612789294242	0.13892590139347183	0.4253359923562688	0.32249075536230004	0.7729853979807629	0.9566257882855461	1.0867484234289082	3.096344520647327E-4	0.6448003391494717	3.0989427254881746E-4	0.7123536277966018	0.09761380704512462	-4974.0862153190965	-2736.299431922142	-1711.1347423968602	-531.2762248290493
520000	-9973.983395945294	-543.3218673654626	-9430.66152857983	59.48926991637446	43.18577237365904	58.64198026607997	59.48926991637446	51.8076391784086	0.08504634399851796	0.12343295678728845	0.5871716429280862	1.1624298876387646	0.17285932946102694	0.10047538429187128	0.4527964319874911	0.6010237169916892	1.1575138715598166	0.12053993220612692	0.23472740047356896	0.23639145217183866	0.28353736147735564	0.16178237706763174	0.15874341116411367	0.3959368502908989	0.2825396221735457	0.10469552185255708	0.1514691496571632	0.4612957063167341	0.37800331669544873	0.818779197933959	0.9412384839175234	1.1175230321649536	3.162975068936662E-4	0.5220719148057119	3.2519827172114836E-4	0.5551861302636432	0.07502535221135147	-4976.438088567574	-2743.088697615397	-1711.1347423968602	-515.4363106942785
540000	-9969.935238849137	-535.169849473221	-9434.765389375916	58.0029430955022	42.11345164985717	57.800868851215256	58.0029430955022	48.70789244457135	0.056631384010433994	0.5029717192842816	0.6531568234971628	1.2000311774111982	0.22405052311351678	0.13001892491896105	0.5193203389163449	0.3513787672083917	1.1494327819134673	0.10396222392304791	0.41283413799882795	0.4387575079724529	0.3008817898374064	0.16178237706763174	0.14457020896829215	0.3927656241266697	0.3394173820554295	0.12985009964721758	0.11386030531152376	0.4168722129858293	0.4417853883053755	1.3261193123382609	0.952677132384075	1.0946457352318497	3.772117966593395E-4	0.547164013863817	3.6756446186784987E-4	0.5689409755509965	-0.004374048461024698	-4976.070401550287	-2747.5602454287696	-1711.1347423968602	-504.07964842208395
560000	-9996.171945037173	-581.3198408108802	-9414.852104226293	61.160640616604056	49.692388589914344	60.327303779418344	61.160640616604056	54.37131764431157	0.0421372812696193	0.5883414725695411	0.6531568234971628	1.3990366872365474	0.24539051402718143	0.2274635432492031	0.5058409449025939	0.5231246180563498	1.0032985095277722	0.11526489633636222	0.12999222759374823	0.31765362858890345	0.3008817898374064	0.18572262459995373	0.14457020896829215	0.3688253765943477	0.28943017829827933	0.11668070590002166	0.14024042026469455	0.4536486955370046	0.3793269830969498	1.3023430882653562	0.9820794676980514	1.035841064603897	2.844606896869181E-4	0.5728736867818304	2.816444619908277E-4	0.5869979228553657	0.139781282037988	-4981.600601549641	-2722.116760279792	-1711.1347423968602	-549.4565154975992
580000	-9990.015989810681	-559.9490500912884	-9430.066939719392	60.15878464665015	42.04952725633528	56.2885803862401	60.15878464665015	45.74912657597326	0.07401901430221458	0.09449673203504239	0.6776512915955276	1.273484440914127	0.25450519877562966	0.14515182207973426	0.4311537083999526	0.5944889203802769	1.221381988914158	0.12479263163664737	0.3484081228322107	0.5086321968604731	0.2976446117643071	0.17303604853284543	0.14733423114802924	0.3819851085548182	0.32893925002771607	0.12257318399329811	0.11915567076292324	0.42933189521606274	0.34308514925431954	1.6639901701161113	0.9545221369148154	1.0909557261703695	3.0898384394211794E-4	0.4485159088872509	3.2255563641647565E-4	0.48525580284916286	0.047542935818927275	-4979.436754883977	-2739.4954424385555	-1711.1347423968602	-529.4891393616958
600000	-9989.57204388721	-556.0935722056981	-9433.478471681512	59.89686475809408	46.358158199438535	56.828048482499085	59.89686475809408	48.99210824110887	0.06222030686649783	0.29839467177102674	0.697722556036365	1.4919260885676948	0.22563618776530006	0.18973859400067136	0.7257196829309658	0.42048469713518083	1.107196945055502	0.15340451037333871	0.3320456721305246	0.40255474967259214	0.28465185183718056	0.1925462837208859	0.1386197554978777	0.3841821089440558	0.32679749080023124	0.1299843102213454	0.09972483657415909	0.4434933624042644	0.41841264930483907	1.2908221831318842	0.9586778820555503	1.0826442358888995	3.2179326232933763E-4	0.6194100370797946	3.50524627305898E-4	0.6703278033533012	0.04795113520500894	-4991.5321775767725	-2730.81155170788	-1711.1347423968602	-525.0132285652892
620000	-9994.738483135736	-558.7743609560871	-9435.964122179648	62.891859461566455	49.487618973040775	58.82387216933143	62.891859461566455	44.45079632457194	0.07973809939785541	0.06648470549460049	0.8363011330281374	1.153615482340287	0.24478875631610142	0.11509986788119342	0.4674048050796881	0.4691411080751547	1.2583533704091605	0.13966131853920524	0.37812808826985994	0.3579514450621813	0.2916742615615723	0.17072272093291296	0.13816979667977997	0.39943322082573474	0.3059049870480238	0.1299843102213454	0.10311821538967322	0.46099248734095766	0.42226097774337173	1.218586479340276	0.942624252642047	1.114751494715906	3.102607389891418E-4	0.49146448020289996	3.141223628325307E-4	0.514612153637836	0.05011732817395635	-4987.532710881875	-2737.2966689009127	-1711.1347423968602	-527.6648599926847
